Student_Name,Register_Number,Fees_Details,Fees_Status,Attendance_Percentage,Books_Borrowed,Scholarship_Eligibility,Contact_Number,Email_ID,Date_of_Birth,Faculty,CGPA,College_Joining_Date,Major,Emergency_Contact,Guardian_Name,Hostel_Room,Transportation_Mode,LinkedIn_Profile,Internship_Status,Year_of_Passing,Hobbies,Blood_Group,Nationality
Yashvi Khare,REG1000,Pending,Due,63.31,No,Not Eligible,8999143565,jivika87@sarraf-arora.com,2006-08-22,Science,5.77,2025-11-15,AI & DS,9745558363,Parent of Yashvi Khare,H364,Car,https://linkedin.com/in/yashvi-khare,Ongoing,2029,"Sports, Reading",B-,Indian
Manjari Dada,REG1001,Paid in Full,No Due,77.66,No,Not Eligible,2529609036,sankarandivij@yahoo.com,2001-04-30,Science,5.46,2020-12-28,Information Technology,9789844666,Parent of Manjari Dada,H167,Bike,https://linkedin.com/in/manjari-dada,Ongoing,2024,"Photography, Coding",B+,Indian
Stuvan Chhabra,REG1002,Partial Payment,Due,66.86,Yes,Not Eligible,3380916947,bansalkavya@rastogi-gera.com,2002-11-26,Engineering,8.14,2022-05-16,Civil,9463986869,Parent of Stuvan Chhabra,H370,Walk,https://linkedin.com/in/stuvan-chhabra,Not Started,2026,"Music, Travel",O-,Indian
Krish Vaidya,REG1003,Paid in Full,No Due,94.04,Yes,Eligible,9026273355,shalvchaudhary@date.info,2006-03-01,Arts,5.22,2024-06-24,Computer Science,9850993068,Parent of Krish Vaidya,H69,Bus,https://linkedin.com/in/krish-vaidya,Ongoing,2028,"Sports, Reading",O+,Indian
Ela Som,REG1004,Pending,Due,79.31,Yes,Eligible,4116421337,trivediadira@gmail.com,2005-06-11,Engineering,9.26,2024-08-30,Civil,9418574558,Parent of Ela Som,H59,Bike,https://linkedin.com/in/ela-som,Completed,2028,"Travel, Drawing",AB+,Indian
Jiya Chandran,REG1005,Partial Payment,Due,73.46,No,Eligible,6087371258,nityasaran@yahoo.com,2000-05-17,Arts,8.4,2020-08-24,Computer Science,9534059730,Parent of Jiya Chandran,H231,Bike,https://linkedin.com/in/jiya-chandran,Not Started,2024,"Sports, Drawing",B+,Indian
Tanya Ramesh,REG1006,Pending,Due,77.96,Yes,Eligible,7835551090,bsanghvi@hotmail.com,2003-06-17,Engineering,6.74,2021-12-18,Information Technology,9824043260,Parent of Tanya Ramesh,H261,Bus,https://linkedin.com/in/tanya-ramesh,Not Started,2025,"Coding, Photography",O+,Indian
Manjari Ram,REG1007,Paid in Full,No Due,94.08,No,Not Eligible,4428097425,pariamble@guha.com,2004-09-15,Arts,7.95,2024-12-06,AI & DS,9255876868,Parent of Manjari Ram,H369,Bus,https://linkedin.com/in/manjari-ram,Completed,2028,"Sports, Music",O+,Indian
Pranay Rajan,REG1008,Pending,Due,75.61,Yes,Not Eligible,5010873082,suraayesha@kara.com,2005-01-04,Arts,8.21,2023-05-04,Mechanical,9593632535,Parent of Pranay Rajan,H36,Car,https://linkedin.com/in/pranay-rajan,Ongoing,2027,"Coding, Sports",AB-,Indian
Bhamini Tata,REG1009,Paid in Full,No Due,63.35,No,Eligible,914824862888,shaan20@yahoo.com,2001-09-06,Arts,8.64,2019-10-30,Civil,9958459366,Parent of Bhamini Tata,H367,Bike,https://linkedin.com/in/bhamini-tata,Ongoing,2023,"Sports, Reading",AB+,Indian
Keya Viswanathan,REG1010,Pending,Due,93.27,Yes,Not Eligible,919700998775,krishnanjiya@hotmail.com,2000-10-21,Engineering,9.75,2019-11-23,Electronics,9272028372,Parent of Keya Viswanathan,H373,Bus,https://linkedin.com/in/keya-viswanathan,Completed,2023,"Drawing, Sports",O+,Indian
Riya Wagle,REG1011,Paid in Full,No Due,74.39,Yes,Not Eligible,6501220960,farhan70@hotmail.com,2001-09-14,Science,5.44,2022-01-14,Information Technology,9397703429,Parent of Riya Wagle,H430,Walk,https://linkedin.com/in/riya-wagle,Completed,2026,"Sports, Music",O-,Indian
Aaina Bala,REG1012,Pending,Due,86.93,No,Not Eligible,6851356924,raupari@gmail.com,2000-06-13,Arts,8.32,2020-04-09,Civil,9755105913,Parent of Aaina Bala,H414,Walk,https://linkedin.com/in/aaina-bala,Completed,2024,"Reading, Coding",A-,Indian
Alia Bumb,REG1013,Partial Payment,Due,62.08,No,Not Eligible,1433333931,hunardoctor@hotmail.com,2006-03-02,Engineering,9.07,2024-06-10,Mechanical,9105664146,Parent of Alia Bumb,H147,Bike,https://linkedin.com/in/alia-bumb,Not Started,2028,"Coding, Photography",B+,Indian
Miraan Bakshi,REG1014,Partial Payment,Due,61.23,Yes,Not Eligible,7939722112,indrans67@gmail.com,2006-05-24,Arts,7.76,2026-08-03,Information Technology,9120477394,Parent of Miraan Bakshi,H395,Bike,https://linkedin.com/in/miraan-bakshi,Completed,2030,"Drawing, Sports",B+,Indian
Misha Srivastava,REG1015,Pending,Due,97.25,Yes,Eligible,5209307997,taran47@batra.com,2005-06-09,Engineering,7.32,2024-10-24,Information Technology,9957797783,Parent of Misha Srivastava,H284,Car,https://linkedin.com/in/misha-srivastava,Not Started,2028,"Coding, Photography",AB-,Indian
